Model,Number_of_features,MSE,RMSE,R2
"Random Forest, all 21 features",21,0.0030669196857101367,0.055379776865839184,0.667891512673793
"Random Forest, top 8 selected features",8,0.003281381082091109,0.05728334035381586,0.6446680646409637
